0x53EAB471, ee_timer
0xBDCF8AC, zod_splits
0x51904F3, open_egg
0xD0E6C1AF, open_pap
0x76936AC5, get_book
0x27741E46, last_flag
0x48079B97, flag_checker
0x1A2A51EB, shadowman
0xEFC09F42, detour
0xDDDA9606, compiler
0xBDF61114, isprofilebuild
0x50F16166, register
0x10777417, undefined
0xBEA63B8A, system
0xC61B24C4, on_start_gametype
0xDABBE128, callback
0xEB99DA89, on_connect
0x28E3E3FD, level
0x1970A3B3, self
0xE025DAA7, ishost
0x3C3F63C5, 0bogsarraykeys9e772656-8bc0-435f-ab99-eee80a8e118b
0x66D91FB2, 0bogsindex74511e72-eaad-463e-9909-52ce860f1976
0xF527682D, button
0x3C0B69B, 0bogsarraykeys276094f1-c174-4522-a46d-07dc4c025ee6
0xAF62EFDA, 0bogsindex4c8da9c4-651c-45ac-9652-5879f39b7404
0xA8F976DD, buton
0xC957F6B6, i
0x42ECAB65, pressed
0x4573206, timeout
0x428A889F, endon
0x7FAF4C39, get_array
0x14B42B8A, struct
0xBE6B87F9, true
0x40017067, waittill
0xD131A6E0, gettime
0x74486FFC, isdefined
0x2395E945, players
0x74D6B22F, set
0xAD23E503, flag
0x2FAE0A5E, notify
0x37CBCF1A, playsoundatposition
0x722885F3, origin
0xF0B11CBC, is_player_valid
0x52BFB19E, zombie_utility
0xD5EF124, usebuttonpressed
0x1273780D, in_revive_trigger
0x172BA133, zm_utility
0x56A7483F, is_enabled
0xD2E735E2, bgb
0x789FA314, minigun_weapon_powerup
0x274C55AE, zm_powerup_weapon_minigun
0x82A5CC4, give_player_all_perks
0x2775F311, letter
0x6DF9264, model
0x6BFE1586, e_player
0x8C8E79FE, ghost
0x4A825F7, passkey_progress
0xCE30083B, passkey
0xB8862210, playsoundtoplayer
0x5948B3DF, trig
0x83E9F930, doll_hit
0x68345FE, ray_gun_hit
0x1E2AF8C1, amount
0x178903FD, inflictor
0x102E3D58, direction
0xDD89F865, point
0xFE311E35, type
0xCD9517D2, tagname
0xF10F645, modelname
0xF105C26B, partname
0xDFCC01FD, weapon
0xC45FBBB9, weapon_combo_spot
0xCC6EA79, kill_trig_on_death
0x7922262B, get
0x3F10449F, getplayers
0x966ECB29, thread_all
0x6D87905C, thundergun_check
0x84970CC4, array
0x4BE20D44, name
0xD0A93EC2, soul_release
0x99AD7214, speed_hud
0xAD13099A, newclienthudelem
0xAABE9F43, alpha
0xEE66567A, tick
0xEE69B16E, setvalue
0xB6B79A0, int
0x73B84F4D, length
0x1439C75A, getvelocity
0xC71E8696, total_ticks
0x9D33509C, 0bogsarraykeysc56ed1b1-a528-4164-82cb-e20f9694903e
0x1D23222F, 0bogsarraykeys9d2c9f66-0311-43f6-b78c-89a7f36b75f7
0x174A440C, 0bogsindexbbb97c4c-cb39-40ae-b761-afd38bd77a17
0x5DC5E20A, player
0x4F71D7CE, 0bogsarraykeys163c30b7-fc33-4819-b799-7dce796f3b77
0x5A23679D, 0bogsindexee85aa0c-7b97-490e-b040-69c3b457f742
0x52DAE9D7, last_tick
0x1AB5EBEC, wait_till
0x8E462FFE, game_start_time
0xE363B850, height
0xC49DDE5, newhudelem
0xD59B9EFD, settimerup
0x7EA0B3F5, ticks
0xAC9EF223, first_tick
0xCD724008, script
0x2E4B8C78, iprintlnbold
0x8CAA0808, text
0x70DFA15A, hours
0xD8E7BBC, s
0x95D0212B, min
0xEF5A711F, h
0xA915D81D, ms
0x60DB70FA, time
0xF6181ACA, settext
0xB5536ACC, alignx
0xDB55E535, aligny
0x740218B1, horzalign
0xF9134763, vertalign
0x4F8217AF, x
0x297F9D46, y
0x2363DA9C, fontscale
0xD900369A, color
0x5773C805, hidewheninmenu
0x8E7EDB95, label
0x4FAEFC23, str_trig
0x9B7FDA5E, spawn
0x8C1F7070, setinvisibletoall
0xDC8C8404, delete
0xE00762CE, string
0x9B01F652, insert
0xD5EB00E3, sethintstring
0x7D3CAC7D, exitlevel
0xC11AE181, fragbuttonpressed
0xF645AF0F, meleebuttonpressed
0x764C8221, map_restart
0x4EBFDB9B, 0bogsarraykeys3716bda7-8e04-402d-b57d-a1139fc3f4bc
0x1498A454, 0bogsindex714a4e75-77c1-4546-a774-c2b183c53f91
0x2921D92A, false
0x29C9DD11, void_array
0x98BA48A2, bgb_pack
0x6E2770D8, isarray
0xE610F362, bgb_stats
0x6C1294B8, setdvar
0x8B97288D, m_mdl_switch
0xE1754D76, settimer
0xBFBB872E, old_height
0xE907DEF4, teddy_spawns
0xE7AA252C, ai_companion
0x255B9315, ignoreme
0x23F90BA6, allow_zombie_to_target_ai
0x2DD707, takedamage
0xD3DE6822, wait_till_clear
0x39660817, player_flag
0xD7F2F886, 0bogsarraykeys0b0cdeaa-0d41-4aca-ac33-4091f8bbfb36
0x646BFF97, 0bogsindex6618d3b9-637c-47b5-8085-8a1ad7cb52b2
0x17360BB4, shadowman_fight
